i,lyrics
29,"가사
We hug and yes, we make love
And always just say ""Goodnight"" (La-la-la-la-la)
And we cuddle, sure I do love it
But I need your lips on mine

Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh oh

Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it

I, I feel like fuckin' something
But we could be corny, fuck it
Sugar, I ain't no dummy-dummy
I like to say, what if, but if
We could kiss and just cut the rubbish
Then I might be onto somethin'
I ain't givin' you one in public
I'm givin' you hundreds, fuck it
Somethin' we just gotta get into
Sign first, middle, last, on the wisdom tooth
Niggas wishin' that the pussy was a kissin' booth
Taste breakfast, lunch and gin and juice
And that dinner just like dessert too
And when we French, refresh gimme too
When I bite that lip, come get me too
He want lipstick, lipgloss, hickeys too, uh

Can you kiss me more?
We're so young, boy
We ain't got nothin' to lose, oh oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh oh

Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it

Say give me a buck, need that gushy stuff
Push the limit, no you ain't good enough
All your niggas say that you lost without me
All my bitches feel like I dodged the county
Fuckin' with you feel like jail, nigga
I can't even exhale, nigga
Pussy like holy grail, you know that
You gon' make me need bail, you know that
Caught dippin' with your friend
You ain't even half man, lyin' on ya [*bleep*], you know that
Got me a bag full of brick, you know that
Control, don't slow the pace if I throw back
All this ass for real (Ah)
Drama make you feel (Ah)
Fantasy and whip appeal
Is all I can give you

Kiss me more
We're so young, boy
We ain't got nothin' to lose, oh oh
It's just principle
Baby, hold me
'Cause I like the way you groove, oh oh
Oh, darling

Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it
Boy, you write your name, I can do the same
Ooh, I love the taste, oh-la-la-la-la-la
All on my tongue, I want it"
30,"가사
I’m such a good surfer
가라앉지 않기
비틀 비 비틀 거리다가 풍덩 uh
빠지더라도 구명복 따윈 졸업
 
I’m such a good surfer
휩쓸리지 않기
울렁 우 울렁 거리다가 throw up
게워내더라도 지는 건 난 못 참아
 
제일 높은 파도 
올라타타 라차차우아
해일과 함께 사라질 타이밍
그건 내가 골라
무슨 소리 겁이 나기는, 재밌지 뭐
 
어어어 푸푸푸 또
허허허 우우우적
거거거 리더던 시
저저절 나라면 
워어언 이 사람아
언제적 얘길 꺼내나
보란듯이 헤엄치기 처첨버벙
 
저저적 셔셔셔 또
저저적 셔셔셔
거거겁 없이 몸을
더더던 져져져
워어언 이 사람아
뭘 그렇게나 놀래나
더 재밌는 걸 보여줄게 
When the wave has come
 
I’m a bubble maker
잔잔한 바다를
지긋 지 지긋 괴롭히는 villain uh
나이를 먹어도 이 버릇 남 못 줘 난

I’m a bubble maker
이제 이쯤이야
출렁 추 출렁 멀미도 suck it up
물 먹이더라도 이곳을 난 못 떠나

제일 높은 파도 
올라타타 라차차우아
너울과 함께 부서질 타이밍
그건 내가 골라
무슨 소리 겁이 나기는, 재밌지 뭐

어어어 푸푸푸 또
허허허 우우우적
거거거 리더던 시
저저절 나라면 
워어언 이 사람아
언제적 얘길 꺼내나
맨몸으로 헤엄치기 처첨버벙
 
어 또 보네 다음에
다시 만날 때까지
부디 행운을 빌어
지겹게 보자고

슬 가볼게 나 먼저
저기 물마루에
원 이 사람 참
뭘 그렇게나 놀래나
더 재밌는 걸 보여줄게
When the wave has come
 
저저적 셔셔셔 또
저저적 셔셔셔
거거겁 없이 몸을
더더던 져져져
워어언 이 사람아
뭘 그렇게나 보채나
거품처럼 사라질게 
When the time has come"
31,"가사
일부러 몇 발자국 물러나
내가 없이 혼자 걷는 널 바라본다
옆자리 허전한 너의 풍경
흑백 거리 가운데 넌 뒤돌아본다
 
그때 알게 되었어
난 널 떠날 수 없단 걸
우리 사이에 그 어떤 힘든 일도
이별보단 버틸 수 있는 것들이었죠
 
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로 서로를 포기하고
찢어질 것같이 아파할 수 없어 난
 
두세 번 더 길을 돌아갈까
적막 짙은 도로 위에 걸음을 포갠다
아무 말 없는 대화 나누며
주마등이 길을 비춘 먼 곳을 본다
 
그때 알게 되었어
난 더 갈 수 없단 걸
한 발 한 발 이별에 가까워질수록
너와 맞잡은 손이 사라지는 것 같죠
 
어떻게 이별까지 사랑하겠어
널 사랑하는 거지
사랑이라는 이유로 서로를 포기하고
찢어질 것같이 아파할 수 없어 난
 
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지 기다리는 게 이별일 텐데
 
어떻게 내가 어떻게 너를
이후에 우리 바다처럼 깊은 사랑이
다 마를 때까지 기다리는 게 이별일 텐데"
32,"가사
Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish

넌 뭐가 궁금해
나는 너만의 chef
이건 너를 위한 plate
yeah 내가 맛 보여 줄게

시간은 충분해 지금 우리
눈치도 보지 마 그저 taste it
내 비법은 색다른 spicy
살짝만 스쳐도 정신없지

설탕이 발린 맛엔
이내 질리기 쉬워
뜨거운 나의 feelin'
지금 느꼈지 넌
너와 내 사이 선명히 보인
커져만 가는 열기
난 오감을 깨워 네 맘을 깨워
터질 것만 같은 ma skill

골라 ma dish
골라 ma dish
골라 ma dish
Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish

아예 방심 하지마
Uh 빈틈이 없을 테니까
Yeah 넌 자극적인 내 감각
ooh 가능하겠니 감당 nope

Yeah yeah 버틸 턱이 없잖아
nah긴장을 더 풀고서 넌
bon appétit now that's right
주체 못 해 자꾸 빠져드는 맛
cuz you can't stop
난 끝까지 get ya

찾게 될 걸 every day
(and every night)
중독돼 이미 넌
네 맘을 더 섞어놔
(이젠 남김없이)
계속 원하게 돼
어지런 머리 네 두 손발이
이끌려 내게 이미
좀 더 자극적일 매 순간들이
강렬해 what we gon' eat

골라 ma dish
(I'm the one
what you want
what you want
what you want ah ya)
골라 ma dish
(I'm the one
what you want
what you want
what you want ah ya)
골라 ma dish
Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish

너를 삼켜버린 feelin'
사로잡은 이런 끌림
뗄 수가 없잖아
좀 더 깊이 빠져들 때
원해 원해 원해봐 더 babe
얼마든지 더 바래 바래 babe
너의 혀끝 위로 아른거릴
완벽해진 맛을 즐겨
You want it babe

(I'm the one
what you want
what you want
what you want ah ya)
골라 ma dish
(I'm the one
what you want
what you want
what you want ah ya)
골라 ma dish
Hot sauce 깊이 dip that eh
날 따라 넌 twist that eh
Hot sauce 타오를 때 ooh
입맛대로 골라 ma dish"
33,"가사
oh my god 타이밍이 참 얄미워
오늘 같은 날 마주쳐 이게 뭐야
머리는 엉망인 데다
상태가 말이 아니야
모른 척 지나가 줘

내 맘이 방심할 때마다 불쑥 나타난 뒤
헤엄치듯 멀어지는 너
또 물보라를 일으켜
da da da da da da da da da da
da da da da
또 물보라를 일으켜
da da da da da da da da da da
da da da da
또 물보라를 일으켜

어쩐지 오늘 알람이 안 울려
아무거나 막 입었고 지각이야
아래로 몸을 낮추고 숨을 꾹 참아봤지만
아이쿠 들켰나 봐

내 맘이 방심할 때마다 불쑥 나타난 뒤
헤엄치듯 멀어지는 너
또 물보라를 일으켜
da da da da da da da da da da
da da da da
또 물보라를 일으켜
da da da da da da da da da da
da da da da
또 물보라를 일으켜

이 파도 위 난 온종일 서핑을 하는 느낌
아찔한 feeling 난 솔직히 푹 빠졌지
하지만 이건 secret 또 물보라를 일으켜

갑자기 웃으며 얼굴을 불쑥 다가온 뒤
원을 갈라 하트를 그려
또 물보라를 일으켜
da da da da da da da da da da
da da da da
또 물보라를 일으켜
da da da da da da da da da da
da da da da
또 물보라를 일으켜

da da da da da da da da da da
da da da da
또 물보라를 일으켜
da da da da da da da da da da
da da da da
또 물보라를 일으켜"
34,"가사
언제부턴가 불쑥
내 습관이 돼버린 너
혹시나 이런 맘이
어쩌면 부담일까
널 주저했어

언제부턴가 점점
내 하루에 스며든 너
아침을 깨우는 네 생각에
어느샌가 거리엔
어둠이 젖어 들고

취기를 빌려
오늘 너에게 고백할 거야
하루하루 네가 좋다고
괜히 어색할까
혼자 애만 태우다
끝끝내 망설여왔던 순간
알잖아 나 무뚝뚝하고
말도 없는 걸
서툰 표현이 쑥스러워서 괜히
쓰다 지울 문자만 바라보다
멋쩍은 쓴웃음만

언제부턴가 가끔
너와 마주칠 때마다
한참을 머뭇거린
어설픈 손 인사만
오늘 밤도 후회로 잦아들고

취기를 빌려
오늘 너에게 고백할 거야
하루하루 보고 싶다고
괜히 어색할까 혼자 애만 태우다
수없이 연습해왔던 그 말

알잖아 나 무뚝뚝하고
말도 없는 걸
서툰 표현이 쑥스러워서 괜히
쓰다 지울 문자만 바라보다
멋쩍은 쓴웃음만

첫눈을 빌려
오늘은 꼭 고백할 거야
작은 너를 품에 안고서
눈을 마주하고
너무 사랑한다고
함께 하고 싶다고"
35,"가사
아프던 너의 이름도
이제는 미련이 아냐
하얗게 잊어버린 듯 살다가
또 한 번 마주치고 싶은 우연이지

낮게 부는 바람결이,
희미한 계절의 기척이
내게는 전혀 낯설지 않아
혹시나 하는 마음에 손을 뻗어보네

봄, 그대가 내게
봄이 되어 왔나 봐
따스하게 내 이름 불러주던
그 목소리처럼

아마 잘 지낸다는
다정한 안부인가 봐
여전히 예쁘네
안녕, 안녕

나란히 걷던 거리에
어느새 핀 꽃 한 송이
모른 척 걸음을 서두르다가
혹시나 하는 마음에 문득

봄, 그대가 내게
봄이 되어 왔나 봐
가득 차게 두 뺨을
반짝이던 편한 웃음처럼

아마 잘 지낸다는
다정한 안부인가 봐
여전히 예쁘네
안녕

매일 다른 길목에
우리 마주칠 수 있도록
나 부지런히 걸어가요
이렇게 기다릴게요

또 그대가 나를
안아 주고 있나 봐
아무 말 없이
그 품을 내어주던
지난날들처럼

더 잘 지내라는 
다정한 인사인가 봐

모르지 않을게
내가 먼저 그대
알아볼게 이렇게
안녕"
36,"가사
So are you happy now
Finally happy now are you

뭐 그대로야 난 
다 잃어버린 것 같아  

모든 게 맘대로 왔다가 인사도 없이 떠나
이대로는 무엇도 사랑하고 싶지 않아 
다 해질 대로 해져버린
기억 속을 여행해 

우리는 오렌지 태양 아래
그림자 없이 함께 춤을 춰
정해진 이별 따위는 없어 
아름다웠던 그 기억에서 만나 
Forever young 

우우우 우우우우  우우우 우우우우
Forever we young 
우우우 우우우우
이런 악몽이라면 영영 깨지 않을게 

섬 그래 여긴 섬 서로가 만든 작은 섬
예 음 forever young 영원이란 말은 모래성

작별은 마치 재난문자 같지
그리움과 같이 맞이하는 아침
서로가 이 영겁을 지나 
꼭 이 섬에서 다시 만나

지나듯 날 위로하던 누구의 말대로 고작
한 뼘짜리 추억을 잊는 게 참 쉽지 않아
시간이 지나도 여전히
날 붙드는 그곳에 

우리는 오렌지 태양 아래
그림자 없이 함께 춤을 춰
정해진 안녕 따위는 없어 
아름다웠던 그 기억에서 만나 

우리는 서로를 베고 누워
슬프지 않은 이야기를 나눠
우울한 결말 따위는 없어
난 영원히 널 이 기억에서 만나 
Forever young 

우우우 우우우우  우우우 우우우우
Forever we young
우우우 우우우우
이런 악몽이라면 영영 깨지 않을게"
37,"가사
어느 날 세상이 멈췄어
아무런 예고도 하나 없이
봄은 기다림을 몰라서
눈치 없이 와버렸어
발자국이 지워진 거리
여기 넘어져있는 나
혼자 가네 시간이
미안해 말도 없이
 
오늘도 비가 내릴 것 같아
흠뻑 젖어버렸네
아직도 멈추질 않아
저 먹구름보다 빨리 달려가
그럼 될 줄 알았는데
나 겨우 사람인가 봐
몹시 아프네
세상이란 놈이 준 감기
덕분에 눌러보는 먼지 쌓인 되감기
넘어진 채 청하는 엇박자의 춤
겨울이 오면 내쉬자
더 뜨거운 숨
 
끝이 보이지 않아
출구가 있긴 할까
발이 떼지질 않아 않아 oh
잠시 두 눈을 감아
여기 내 손을 잡아
저 미래로 달아나자
 
Like an echo in the forest
하루가 돌아오겠지
아무 일도 없단 듯이
Yeah life goes on
Like an arrow in the blue sky
또 하루 더 날아가지
On my pillow, on my table
Yeah life goes on
Like this again
 
이 음악을 빌려 너에게 나 전할게
사람들은 말해 세상이 다 변했대
다행히도 우리 사이는
아직 여태 안 변했네
 
늘 하던 시작과 끝 ‘안녕’이란 말로
오늘과 내일을 또 함께 이어보자고
멈춰있지만 어둠에 숨지 마
빛은 또 떠오르니깐
 
끝이 보이지 않아
출구가 있긴 할까
발이 떼지질 않아 않아 oh
잠시 두 눈을 감아
여기 내 손을 잡아
저 미래로 달아나자
 
Like an echo in the forest
하루가 돌아오겠지
아무 일도 없단 듯이
Yeah life goes on
Like an arrow in the blue sky
또 하루 더 날아가지
On my pillow, on my table
Yeah life goes on
Like this again
 
I remember
I remember
I remember
I remember "
38,"가사
참 많이 궁금해
전부 다 궁금해
왜 잠이 안 오고 네 얼굴만 보여

나도 궁금해
이 맘이 궁금해
왜 너만 보면 웃음이 먼저 나와

친구들 모여서
네 말이 나오면
왜 내가 들떠서 더 듣고 싶은지

너만 있으면
난 딴 사람이 돼
또 뜬금없는
어색한 농담을 늘 해

사실 난 이 느낌이 이상해
구름 위가 있다면 여기일까

혹시 그런 걸까
너와 나 그런 걸까
내 맘과 같다면
시작돼 버린 걸까

너를 많이 많이 좋아해
너를 나 사랑하게 됐나 봐
똑같이 말하고 싶은데
내가 그래도 될까 좀 더 기다려볼까

나도 많이 많이 좋아해
사실 난 이런 맘이 처음인데
더 기다려줄게
더 기다려줄래
난 여기 있을게
여기 있어줄래
우리는 이미 같은 맘인걸

내 뭐가 좋은지
난 그게 궁금해
언제부터 내가 네 맘에 살았니

나도 궁금해 (Yeah~)
네 맘이 궁금해 (Yeah~)
싫지 않은 게 아니라 좋은 거지

예쁜 여자들은 (No~)
참 많고 많은데 (No~)
넌 정말 나밖에 안 보이는 건지

멋진 남자들 (누구?)
네 곁에 많은데 (어디?)
어떻게 네가 내게로 오는 거니 Girl

사실 난 우릴 자꾸 상상해 (상상해)
이런 기분 어쩐지 수상해
같은 하늘 아래 (같은 하늘 아래서)
같은 생각을 하고
똑같은 말 이제 해도 될 것 같은데

너를 많이 많이 좋아해
너를 나 사랑하게 됐나 봐
똑같이 말하고 싶은데
내가 그래도 될까 좀 더 기다려볼까
나도 많이 많이 좋아해
사실 난 이런 맘이 처음인데
더 기다려줄게
더 기다려줄래
난 여기 있을게
여기 있어줄래
우리는 이미 같은 맘인걸

누가 좋아해, 더?
내가, 더?

그런 건 나 중요치 않은걸
나 손 내밀면
그 손 안 놓을 자신 있다면
영원히 그 손을 놓지 않을게

너를 너무너무 좋아해
사실 난 이미 너를 사랑해
똑같이 말할 수 있는데
왜 난
떨리는 건지 자꾸 망설이는지
아니 너를 너를 사랑해
이제는 내 맘 다 말해줄게

날 믿어주겠니
널 믿어볼게 난
이 사랑 안에서
이 사랑 속에서
나란히
같이 걸어가자 둘이"
39,"가사
애써 담담히 마주 앉은 그때
이미 나는 모두 알고 있던 것 같아
마음은 말보다 늘 조금 빠르고
모르겠니 내가 너를 다음은 없을지 몰라

미안하단 말 잘 지내라는 말
꺼내기가 듣기보다 아팠을 텐데
오늘이 지나고 또 오늘이 온대도
난 여전히 널 놓치겠지만

적어도 눈부시던 시절
그 가운데 함께였다는 건
생각만으로도 가슴 저릿하게 사랑했던 건
반짝이는 전부였던 건
잊지마 우리 한 때 그랬던 건

고마웠단 말 괜찮을 거란 말
사랑 뒤에 숨어있던 슬픈 인사들
설레던 시작이 조금씩 닳고 닳아
사라지는 걸 몰랐었나 봐

안녕히 더 이상은 내가
너의 아무것도 아니래도
추억만으로는 무엇 하나 달라질 수 없대도
잠시 사랑했던 너와 나

적어도 우리
잊지 않기로 해 그러기로 해
사계절이 다 우리 둘을 지울 때까지

눈부시던 시절
그 가운데 함께였다는 건
생각만으로도 가슴 저릿하게 서로 안았던 건
반짝이는 전부였던 건
적어도 우리 한 때 사랑한 건"
40,"가사
그러나 시간이 지나도
아물지 않는 일들이 있지
내가 날 온전히 사랑하지 못해서 
맘이 가난한 밤이야

거울 속에 마주친 얼굴이 어색해서
습관처럼 조용히 눈을 감아
밤이 되면 서둘러 내일로 가고 싶어
수많은 소원 아래 매일 다른 꿈을 꾸던

아이는 그렇게 오랜 시간
겨우 내가 되려고 아팠던 걸까
쌓이는 하루만큼 더 멀어져 
우리는 화해할 수 없을 것 같아
나아지지 않을 것 같아

어린 날 내 맘엔 영원히
가물지 않는 바다가 있었지
이제는 흔적만이 남아 희미한 그곳엔

설렘으로 차오르던 나의 숨소리와
머리 위로 선선히 부는 바람
파도가 되어 어디로든 달려가고 싶어
작은 두려움 아래 천천히 두 눈을 뜨면

세상은 그렇게 모든 순간
내게로 와 눈부신 선물이 되고
숱하게 의심하던 나는 그제야
나에게 대답할 수 있을 것 같아

선 너머에 기억이
나를 부르고 있어
아주 오랜 시간 동안
잊고 있던 목소리에

물결을 거슬러 나 돌아가
내 안의 바다가 태어난 곳으로

휩쓸려 길을 잃어도 자유로와
더이상 날 가두는 어둠에 눈 감지 않아
두 번 다시 날 모른 척 하지 않아

그럼에도 여전히 가끔은
삶에게 지는 날들도 있겠지
또다시 헤매일지라도 돌아오는 길을 알아"
41,"가사
Billboard Baby, Dua Lipa make 'em dance when it come on
Everybody lookin' for a dancefloor to run on
If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time
You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yеah, yeah, yeah
I got you, moonlight, you're my starlight
I need you all night, comе on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating
I'm one of the greatest, ain't no debatin' on it (Let's go)
I'm still levitating, I'm heavily medicated
Ironic I gave 'em love and they end up hatin' on me (Go)
She told me love me and she been waitin'
Been fightin' hard for your love and I'm runnin' thin on my patience
Needed someone to hug, even took it back to the basics
You see what you got me out here doin'? (Yeah)
Mighta threw me off, but can't nobody stop the movement
Uh uh, let's go
Left foot, right foot, levitatin' (C'mon)
Pop stars (Go), Dua Lipa with DaBaby
I had to lace my shoes for all the blessings I was chasin' (Go)
If I ever slip, I'll fall into a better situation
So catch up, go put some cheese on it
Get out and get your bread up (Yeah, yeah)
They always leave when you fall, but you run together (Hey)
Weight of the world on my shoulders, I kept my head up
Now, baby, stand up, 'cause, girl, you
You want me (Hey), I want you, baby (Hey)
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah
I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (Woo)
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Woo)
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
I got you (Yeah), moonlight, you're my starlight
I need you all night (All night), come on, dance with me (Let's go)
I'm levitating (Woo)
You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Take you for a ride)
I'm levitating (Woo)
You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Let me take you for a ride)
I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating"
42,"가사
Don’t call me (Check this out yo’ll)
Don’t call me
Don’t call me (I don’t want you back, don’t call me)
Don’t call me
Don’t call me (I keep saying, next time은 없어 In your life)
Don’t call me
Don’t call me (Yeeaow)
Don’t call

깊어진 밤 집요하게
벨이 울려 It’s your calling
고집스럽고 지독하지
그게 바로 너 Still call

너는 쉽게 포기 못해
그 성질 버리지 못해
온종일 내 이름만 서치해
내 흔적들을 찾아 핥아 대

내 아침을 망치곤 해
그 패턴은 뻔해
관심 꺼줄래
I know where you came from

한때는 나의 Shawty
사라져 줄래 저리
Don’t think about calling

넌 못 버티겠지
집착뿐이겠지
나처럼 잘한 사람 없을 거니까
너도 참 피곤했지
전부 꾸며대니
머릿속 꽤나 어지러웠을거야

Don’t call me (미쳤어 넌)
Don’t call me
Don’t call me (You don’t know you waste my time)
Don’t call me
Don’t call me (느껴봐 넌 최악이야)
Don’t call me
Don’t call me (Wait I hate your call)
Don’t call

끝났어 너의 Love
Don’t want it now ooh
사랑하면 보내줘
Don’t want it now ooh

계속 말하잖아
Next time은 없어 In your life
네 사랑 난 이제 아냐
지워 날 잊어버려 제발
난 널 몰라
So 내게 전화하지 마

Sick of all your trash
진짜 늦었다니까
널 믿지 않아 You know why
날 속였다는 걸 알아

비극은 왜 사랑의 몫인데?
슬픈 에픽 속
그 끝을 보고 있네
넌 못 버티겠지
집착뿐이겠지
나처럼 잘한
사람 없을 거니 Ya

Don’t call me (미쳤어 넌)
Don’t call me
Don’t call me (You don’t know you waste my time)
Don’t call me
Don’t call me (느껴봐 넌 최악이야)
Don’t call me
Don’t call me (Wait I hate your call)
Don’t call

끝났어 너의 Love
Don’t want it now ooh
사랑하면 보내줘
Don’t want it now ooh

계속 말하잖아
Next time은 없어 In your life
네 사랑 난 이제 아냐
지워 날 잊어버려 제발
난 널 몰라
So 내게 전화하지 마

아직 허튼 꿈속에서 포기 못 했니
I’ll never pick up 지워버렸어
I’m gonna save my love
For the next call
(Sorry the number you have called has been disconnected)
Woo 

Don’t call me (끝났어 Love)
Don’t call me
Don’t call me (I said I don’t want it now)
Don’t call me
Don’t call me (사랑했다면 보내줘)
Don’t call me
Don’t call me (Wait I hate your call)
Don’t call

난 찾을 거야 Love
더 아름다운
지독했던 너와 나
잊을 수 있는

계속 말하잖아
Next time은 없어 In your life
네 사랑 난 이제 아냐
지워 날 잊어버려 제발
난 널 몰라
So 내게 전화하지 마"
43,"가사
보고 싶다 이렇게 
말하니까 더 보고 싶다
너희 사진을 
보고 있어도 보고 싶다

너무 야속한 시간 
나는 우리가 밉다
이제 얼굴 한 번 보는 것 조차
힘들어진 우리가
여긴 온통 겨울 뿐이야 
8월에도 겨울이 와

마음은 시간을 달려가네 
홀로 남은 설국열차
니 손 잡고 지구 
반대편까지 가 
이 겨울을 끝내고파

그리움들이 
얼마나 눈처럼 내려야 
그 봄날이 올까
Friend

허공을 떠도는 
작은 먼지처럼 
작은 먼지처럼
날리는 눈이 나라면 
조금 더 빨리 네게
닿을 수 있을 텐데

눈꽃이 떨어져요
또 조금씩 멀어져요
보고 싶다
보고 싶다
얼마나 기다려야 
또 몇 밤을 더 새워야
널 보게 될까 
만나게 될까

추운 겨울 끝을 지나 
다시 봄날이 올 때까지
꽃 피울 때까지 
그곳에 좀 더 머물러줘 
머물러줘

니가 변한 건지 
아니면 내가 변한 건지
이 순간 흐르는 시간조차 미워 
우리가 변한 거지 뭐 
모두가 그런 거지 뭐

그래 밉다 니가 
넌 떠났지만 
단 하루도 너를 
잊은 적이 없었지 난

솔직히 보고 싶은데 
이만 너를 지울게
그게 널 원망하기보단 
덜 아프니까

시린 널 불어내 본다 
연기처럼 하얀 연기처럼
말로는 지운다 해도 
사실 난 아직 널 보내지 못하는데

눈꽃이 떨어져요 
또 조금씩 멀어져요
보고 싶다 
보고 싶다
얼마나 기다려야 
또 몇 밤을 더 새워야
널 보게 될까 
만나게 될까

You know it all 
You're my best friend 
아침은 다시 올 거야
어떤 어둠도 어떤 계절도 
영원할 순 없으니까

벚꽃이 피나봐요 
이 겨울도 끝이 나요
보고 싶다 
보고 싶다
조금만 기다리면 
며칠 밤만 더 새우면
만나러 갈게
데리러 갈게 

추운 겨울 끝을 지나 
다시 봄날이 올 때까지
꽃 피울 때까지 
그곳에 좀 더 머물러줘 
머물러줘"
44,"가사
‘뭐해?‘라는 두 글자에
‘네가 보고 싶어’ 나의 속마음을 담아 우
이모티콘 하나하나 속에
달라지는 내 미묘한 심리를 알까 우

아니 바쁘지 않아 nothing no no 
잠들어 있지 않아 insomnia nia nia
지금 다른 사람과 함께이지 않아
응, 나도 너를 생각 중

우리의 네모 칸은 bloom
엄지손가락으로 장미꽃을 피워 
향기에 취할 것 같아 우
오직 둘만의 비밀의 정원

I feel bloom I feel bloom I feel bloom
너에게 한 송이를 더 보내

밤샘 작업으로 업데이트
흥미로운 이 작품의 지은이 that’s me 우
어쩜 이 관계의 클라이맥스
2막으로 넘어가기엔 지금이 good timing 우

같은 맘인 걸 알아 realize la lize
말을 고르지 말아 just reply la la ly
조금 장난스러운 나의 은유에
네 해석이 궁금해 

우리의 색은 gray and blue 
엄지손가락으로 말풍선을 띄워
금세 터질 것 같아 우
호흡이 가빠져 어지러워

I feel blue. I feel blue. I feel blue.
너에게 가득히 채워 

띄어쓰기없이보낼게사랑인것같애
백만송이장미꽃을, 나랑피워볼래?
꽃잎의 색은 우리 마음 가는 대로 칠해
시들 때도 예쁘게

우리의 네모 칸은 bloom
엄지손가락으로 장미꽃을 피워 
향기에 취할 것 같아 우
오직 둘만의 비밀의 정원

I feel bloom I feel bloom I feel bloom
너에게 한 송이를 더 보내"
45,"가사
이 밤 그날의 반딧불을 
당신의 창 가까이 보낼게요
음 사랑한다는 말이에요

나 우리의 첫 입맞춤을 떠올려
그럼 언제든 눈을 감고 
음 가장 먼 곳으로 가요

난 파도가 머물던 
모래 위에 적힌 글씨처럼
그대가 멀리 
사라져 버릴 것 같아 
늘 그리워 그리워

여기 내 마음속에 
모든 말을 
다 꺼내어 줄 순 없지만
사랑한다는 말이에요

어떻게 나에게 
그대란 행운이 온 걸까
지금 우리 함께 있다면 
아 얼마나 좋을까요

난 파도가 머물던 
모래 위에 적힌 글씨처럼
그대가 멀리 
사라져 버릴 것 같아
또 그리워 더 그리워

나의 일기장 안에
모든 말을 
다 꺼내어 줄 순 없지만
사랑한다는 말

이 밤 그날의 반딧불을 
당신의
창 가까이 띄울게요
음 좋은 꿈 이길 바라요"
